contents,quarter,value,shortname
Number of jobs (employments),2022K3,15324,"Head offices, management consult."
Number of jobs (employments),2022K4,15835,"Head offices, management consult."
Average monthly basic earnings (NOK),2016K1,54690,"Head offices, management consult."
Average monthly basic earnings (NOK),2016K2,55050,"Head offices, management consult."
Average monthly basic earnings (NOK),2016K3,54360,"Head offices, management consult."
Average monthly basic earnings (NOK),2016K4,55350,"Head offices, management consult."
Average monthly basic earnings (NOK),2017K1,55140,"Head offices, management consult."
Average monthly basic earnings (NOK),2017K2,55250,"Head offices, management consult."
Average monthly basic earnings (NOK),2017K3,55410,"Head offices, management consult."
Average monthly basic earnings (NOK),2017K4,56110,"Head offices, management consult."
Average monthly basic earnings (NOK),2018K1,56680,"Head offices, management consult."
Average monthly basic earnings (NOK),2018K2,56930,"Head offices, management consult."
Average monthly basic earnings (NOK),2018K3,56740,"Head offices, management consult."
Average monthly basic earnings (NOK),2018K4,58200,"Head offices, management consult."
Average monthly basic earnings (NOK),2019K1,58230,"Head offices, management consult."
Average monthly basic earnings (NOK),2019K2,58700,"Head offices, management consult."
Average monthly basic earnings (NOK),2019K3,58580,"Head offices, management consult."
Average monthly basic earnings (NOK),2019K4,59810,"Head offices, management consult."
Average monthly basic earnings (NOK),2020K1,60250,"Head offices, management consult."
Average monthly basic earnings (NOK),2020K2,59500,"Head offices, management consult."
Average monthly basic earnings (NOK),2020K3,59630,"Head offices, management consult."
Average monthly basic earnings (NOK),2020K4,61820,"Head offices, management consult."
Average monthly basic earnings (NOK),2021K1,62200,"Head offices, management consult."
Average monthly basic earnings (NOK),2021K2,62800,"Head offices, management consult."
Average monthly basic earnings (NOK),2021K3,62710,"Head offices, management consult."
Average monthly basic earnings (NOK),2021K4,64060,"Head offices, management consult."
Average monthly basic earnings (NOK),2022K1,65030,"Head offices, management consult."
Average monthly basic earnings (NOK),2022K2,65890,"Head offices, management consult."
Average monthly basic earnings (NOK),2022K3,66110,"Head offices, management consult."
Average monthly basic earnings (NOK),2022K4,67690,"Head offices, management consult."
Average monthly earnings (NOK),2016K1,60890,"Head offices, management consult."
Average monthly earnings (NOK),2016K2,64170,"Head offices, management consult."
Average monthly earnings (NOK),2016K3,55840,"Head offices, management consult."
Average monthly earnings (NOK),2016K4,57440,"Head offices, management consult."
Average monthly earnings (NOK),2017K1,60940,"Head offices, management consult."
Average monthly earnings (NOK),2017K2,63910,"Head offices, management consult."
Average monthly earnings (NOK),2017K3,57190,"Head offices, management consult."
Average monthly earnings (NOK),2017K4,58260,"Head offices, management consult."
Average monthly earnings (NOK),2018K1,63470,"Head offices, management consult."
Average monthly earnings (NOK),2018K2,64820,"Head offices, management consult."
Average monthly earnings (NOK),2018K3,59060,"Head offices, management consult."
Average monthly earnings (NOK),2018K4,63060,"Head offices, management consult."
Average monthly earnings (NOK),2019K1,65620,"Head offices, management consult."
Average monthly earnings (NOK),2019K2,65720,"Head offices, management consult."
Average monthly earnings (NOK),2019K3,62820,"Head offices, management consult."
Average monthly earnings (NOK),2019K4,62050,"Head offices, management consult."
Average monthly earnings (NOK),2020K1,66670,"Head offices, management consult."
Average monthly earnings (NOK),2020K2,63360,"Head offices, management consult."
Average monthly earnings (NOK),2020K3,64860,"Head offices, management consult."
Average monthly earnings (NOK),2020K4,64670,"Head offices, management consult."
Average monthly earnings (NOK),2021K1,69410,"Head offices, management consult."
Average monthly earnings (NOK),2021K2,73570,"Head offices, management consult."
Average monthly earnings (NOK),2021K3,66190,"Head offices, management consult."
Average monthly earnings (NOK),2021K4,66990,"Head offices, management consult."
Average monthly earnings (NOK),2022K1,69600,"Head offices, management consult."
Average monthly earnings (NOK),2022K2,75270,"Head offices, management consult."
Average monthly earnings (NOK),2022K3,68530,"Head offices, management consult."
Average monthly earnings (NOK),2022K4,70500,"Head offices, management consult."
Index of average monthly basic earnings,2016K1,100,"Head offices, management consult."
Index of average monthly basic earnings,2016K2,100.7,"Head offices, management consult."
Index of average monthly basic earnings,2016K3,99.4,"Head offices, management consult."
Index of average monthly basic earnings,2016K4,101.2,"Head offices, management consult."
Index of average monthly basic earnings,2017K1,100.8,"Head offices, management consult."
Index of average monthly basic earnings,2017K2,101,"Head offices, management consult."
Index of average monthly basic earnings,2017K3,101.3,"Head offices, management consult."
Index of average monthly basic earnings,2017K4,102.6,"Head offices, management consult."
Index of average monthly basic earnings,2018K1,103.6,"Head offices, management consult."
Index of average monthly basic earnings,2018K2,104.1,"Head offices, management consult."
Index of average monthly basic earnings,2018K3,103.7,"Head offices, management consult."
Index of average monthly basic earnings,2018K4,106.4,"Head offices, management consult."
Index of average monthly basic earnings,2019K1,106.5,"Head offices, management consult."
Index of average monthly basic earnings,2019K2,107.3,"Head offices, management consult."
Index of average monthly basic earnings,2019K3,107.1,"Head offices, management consult."
Index of average monthly basic earnings,2019K4,109.4,"Head offices, management consult."
Index of average monthly basic earnings,2020K1,110.2,"Head offices, management consult."
Index of average monthly basic earnings,2020K2,108.8,"Head offices, management consult."
Index of average monthly basic earnings,2020K3,109,"Head offices, management consult."
Index of average monthly basic earnings,2020K4,113,"Head offices, management consult."
Index of average monthly basic earnings,2021K1,113.7,"Head offices, management consult."
Index of average monthly basic earnings,2021K2,114.8,"Head offices, management consult."
Index of average monthly basic earnings,2021K3,114.7,"Head offices, management consult."
Index of average monthly basic earnings,2021K4,117.1,"Head offices, management consult."
Index of average monthly basic earnings,2022K1,118.9,"Head offices, management consult."
Index of average monthly basic earnings,2022K2,120.5,"Head offices, management consult."
Index of average monthly basic earnings,2022K3,120.9,"Head offices, management consult."
Index of average monthly basic earnings,2022K4,123.8,"Head offices, management consult."
Index of average monthly earnings,2016K1,100,"Head offices, management consult."
Index of average monthly earnings,2016K2,105.4,"Head offices, management consult."
Index of average monthly earnings,2016K3,91.7,"Head offices, management consult."
Index of average monthly earnings,2016K4,94.3,"Head offices, management consult."
Index of average monthly earnings,2017K1,100.1,"Head offices, management consult."
Index of average monthly earnings,2017K2,105,"Head offices, management consult."
Index of average monthly earnings,2017K3,93.9,"Head offices, management consult."
Index of average monthly earnings,2017K4,95.7,"Head offices, management consult."
Index of average monthly earnings,2018K1,104.2,"Head offices, management consult."
Index of average monthly earnings,2018K2,106.5,"Head offices, management consult."
Index of average monthly earnings,2018K3,97,"Head offices, management consult."
Index of average monthly earnings,2018K4,103.6,"Head offices, management consult."
Index of average monthly earnings,2019K1,107.8,"Head offices, management consult."
Index of average monthly earnings,2019K2,107.9,"Head offices, management consult."
Index of average monthly earnings,2019K3,103.2,"Head offices, management consult."
Index of average monthly earnings,2019K4,101.9,"Head offices, management consult."
Index of average monthly earnings,2020K1,109.5,"Head offices, management consult."
Index of average monthly earnings,2020K2,104.1,"Head offices, management consult."
Index of average monthly earnings,2020K3,106.5,"Head offices, management consult."
Index of average monthly earnings,2020K4,106.2,"Head offices, management consult."
Index of average monthly earnings,2021K1,114,"Head offices, management consult."
Index of average monthly earnings,2021K2,120.8,"Head offices, management consult."
Index of average monthly earnings,2021K3,108.7,"Head offices, management consult."
Index of average monthly earnings,2021K4,110,"Head offices, management consult."
Index of average monthly earnings,2022K1,114.3,"Head offices, management consult."
Index of average monthly earnings,2022K2,123.6,"Head offices, management consult."
Index of average monthly earnings,2022K3,112.5,"Head offices, management consult."
Index of average monthly earnings,2022K4,115.8,"Head offices, management consult."
Number of employees,2016K1,50561,"Architecture, engineering activities"
Number of employees,2016K2,50299,"Architecture, engineering activities"
Number of employees,2016K3,50300,"Architecture, engineering activities"
Number of employees,2016K4,49953,"Architecture, engineering activities"
Number of employees,2017K1,49574,"Architecture, engineering activities"
Number of employees,2017K2,49593,"Architecture, engineering activities"
Number of employees,2017K3,50326,"Architecture, engineering activities"
Number of employees,2017K4,50712,"Architecture, engineering activities"
Number of employees,2018K1,50775,"Architecture, engineering activities"
Number of employees,2018K2,51285,"Architecture, engineering activities"
Number of employees,2018K3,52728,"Architecture, engineering activities"
Number of employees,2018K4,53398,"Architecture, engineering activities"
Number of employees,2019K1,53045,"Architecture, engineering activities"
Number of employees,2019K2,53852,"Architecture, engineering activities"
Number of employees,2019K3,54572,"Architecture, engineering activities"
Number of employees,2019K4,55283,"Architecture, engineering activities"
Number of employees,2020K1,54306,"Architecture, engineering activities"
Number of employees,2020K2,53383,"Architecture, engineering activities"
Number of employees,2020K3,53017,"Architecture, engineering activities"
Number of employees,2020K4,53993,"Architecture, engineering activities"
Number of employees,2021K1,53525,"Architecture, engineering activities"
Number of employees,2021K2,54408,"Architecture, engineering activities"
Number of employees,2021K3,55890,"Architecture, engineering activities"
Number of employees,2021K4,56482,"Architecture, engineering activities"
Number of employees,2022K1,56947,"Architecture, engineering activities"
Number of employees,2022K2,57600,"Architecture, engineering activities"
Number of employees,2022K3,58884,"Architecture, engineering activities"
Number of employees,2022K4,59744,"Architecture, engineering activities"
Number of jobs (employments),2016K1,51601,"Architecture, engineering activities"
Number of jobs (employments),2016K2,51350,"Architecture, engineering activities"
Number of jobs (employments),2016K3,51352,"Architecture, engineering activities"
Number of jobs (employments),2016K4,51113,"Architecture, engineering activities"
Number of jobs (employments),2017K1,50655,"Architecture, engineering activities"
Number of jobs (employments),2017K2,50720,"Architecture, engineering activities"
Number of jobs (employments),2017K3,51491,"Architecture, engineering activities"
Number of jobs (employments),2017K4,51960,"Architecture, engineering activities"
Number of jobs (employments),2018K1,51864,"Architecture, engineering activities"
Number of jobs (employments),2018K2,52503,"Architecture, engineering activities"
Number of jobs (employments),2018K3,53954,"Architecture, engineering activities"
Number of jobs (employments),2018K4,54725,"Architecture, engineering activities"
Number of jobs (employments),2019K1,54236,"Architecture, engineering activities"
Number of jobs (employments),2019K2,55100,"Architecture, engineering activities"
Number of jobs (employments),2019K3,55843,"Architecture, engineering activities"
Number of jobs (employments),2019K4,56660,"Architecture, engineering activities"
Number of jobs (employments),2020K1,55548,"Architecture, engineering activities"
Number of jobs (employments),2020K2,54548,"Architecture, engineering activities"
Number of jobs (employments),2020K3,54220,"Architecture, engineering activities"
Number of jobs (employments),2020K4,55345,"Architecture, engineering activities"
Number of jobs (employments),2021K1,54799,"Architecture, engineering activities"
Number of jobs (employments),2021K2,55851,"Architecture, engineering activities"
Number of jobs (employments),2021K3,57485,"Architecture, engineering activities"
Number of jobs (employments),2021K4,58044,"Architecture, engineering activities"
Number of jobs (employments),2022K1,58444,"Architecture, engineering activities"
Number of jobs (employments),2022K2,59148,"Architecture, engineering activities"
Number of jobs (employments),2022K3,60400,"Architecture, engineering activities"
Number of jobs (employments),2022K4,61377,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2016K1,55850,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2016K2,55740,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2016K3,55240,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2016K4,56250,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2017K1,56410,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2017K2,56340,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2017K3,56300,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2017K4,57230,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2018K1,57450,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2018K2,57460,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2018K3,57460,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2018K4,58370,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2019K1,58830,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2019K2,59170,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2019K3,59180,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2019K4,60450,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2020K1,60900,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2020K2,60460,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2020K3,60380,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2020K4,61440,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2021K1,62320,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2021K2,62570,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2021K3,62410,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2021K4,63770,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2022K1,64440,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2022K2,64920,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2022K3,65070,"Architecture, engineering activities"
Average monthly basic earnings (NOK),2022K4,66970,"Architecture, engineering activities"
Average monthly earnings (NOK),2016K1,57310,"Architecture, engineering activities"
Average monthly earnings (NOK),2016K2,57810,"Architecture, engineering activities"
Average monthly earnings (NOK),2016K3,55960,"Architecture, engineering activities"
Average monthly earnings (NOK),2016K4,57250,"Architecture, engineering activities"
Average monthly earnings (NOK),2017K1,58210,"Architecture, engineering activities"
Average monthly earnings (NOK),2017K2,58180,"Architecture, engineering activities"
Average monthly earnings (NOK),2017K3,57140,"Architecture, engineering activities"
Average monthly earnings (NOK),2017K4,58210,"Architecture, engineering activities"
Average monthly earnings (NOK),2018K1,59960,"Architecture, engineering activities"
Average monthly earnings (NOK),2018K2,59860,"Architecture, engineering activities"
Average monthly earnings (NOK),2018K3,58400,"Architecture, engineering activities"
Average monthly earnings (NOK),2018K4,59770,"Architecture, engineering activities"
Average monthly earnings (NOK),2019K1,61410,"Architecture, engineering activities"
Average monthly earnings (NOK),2019K2,61440,"Architecture, engineering activities"
Average monthly earnings (NOK),2019K3,60200,"Architecture, engineering activities"
Average monthly earnings (NOK),2019K4,61800,"Architecture, engineering activities"
Average monthly earnings (NOK),2020K1,63040,"Architecture, engineering activities"
Average monthly earnings (NOK),2020K2,63140,"Architecture, engineering activities"
Average monthly earnings (NOK),2020K3,61380,"Architecture, engineering activities"
Average monthly earnings (NOK),2020K4,62850,"Architecture, engineering activities"
Average monthly earnings (NOK),2021K1,64660,"Architecture, engineering activities"
Average monthly earnings (NOK),2021K2,67150,"Architecture, engineering activities"
Average monthly earnings (NOK),2021K3,63270,"Architecture, engineering activities"
Average monthly earnings (NOK),2021K4,73820,"Architecture, engineering activities"
Average monthly earnings (NOK),2022K1,66870,"Architecture, engineering activities"
Average monthly earnings (NOK),2022K2,69100,"Architecture, engineering activities"
Average monthly earnings (NOK),2022K3,66060,"Architecture, engineering activities"
Average monthly earnings (NOK),2022K4,68100,"Architecture, engineering activities"
Index of average monthly basic earnings,2016K1,100,"Architecture, engineering activities"
Index of average monthly basic earnings,2016K2,99.8,"Architecture, engineering activities"
Index of average monthly basic earnings,2016K3,98.9,"Architecture, engineering activities"
Index of average monthly basic earnings,2016K4,100.7,"Architecture, engineering activities"
Index of average monthly basic earnings,2017K1,101,"Architecture, engineering activities"
Index of average monthly basic earnings,2017K2,100.9,"Architecture, engineering activities"
Index of average monthly basic earnings,2017K3,100.8,"Architecture, engineering activities"
Index of average monthly basic earnings,2017K4,102.5,"Architecture, engineering activities"
Index of average monthly basic earnings,2018K1,102.9,"Architecture, engineering activities"
Index of average monthly basic earnings,2018K2,102.9,"Architecture, engineering activities"
Index of average monthly basic earnings,2018K3,102.9,"Architecture, engineering activities"
Index of average monthly basic earnings,2018K4,104.5,"Architecture, engineering activities"
Index of average monthly basic earnings,2019K1,105.3,"Architecture, engineering activities"
Index of average monthly basic earnings,2019K2,105.9,"Architecture, engineering activities"
Index of average monthly basic earnings,2019K3,106,"Architecture, engineering activities"
Index of average monthly basic earnings,2019K4,108.2,"Architecture, engineering activities"
Index of average monthly basic earnings,2020K1,109,"Architecture, engineering activities"
Index of average monthly basic earnings,2020K2,108.3,"Architecture, engineering activities"
Index of average monthly basic earnings,2020K3,108.1,"Architecture, engineering activities"
Index of average monthly basic earnings,2020K4,110,"Architecture, engineering activities"
Index of average monthly basic earnings,2021K1,111.6,"Architecture, engineering activities"
Index of average monthly basic earnings,2021K2,112,"Architecture, engineering activities"
Index of average monthly basic earnings,2021K3,111.7,"Architecture, engineering activities"
Index of average monthly basic earnings,2021K4,114.2,"Architecture, engineering activities"
Index of average monthly basic earnings,2022K1,115.4,"Architecture, engineering activities"
Index of average monthly basic earnings,2022K2,116.2,"Architecture, engineering activities"
Index of average monthly basic earnings,2022K3,116.5,"Architecture, engineering activities"
Index of average monthly basic earnings,2022K4,119.9,"Architecture, engineering activities"
Index of average monthly earnings,2016K1,100,"Architecture, engineering activities"
Index of average monthly earnings,2016K2,100.9,"Architecture, engineering activities"
Index of average monthly earnings,2016K3,97.6,"Architecture, engineering activities"
Index of average monthly earnings,2016K4,99.9,"Architecture, engineering activities"
Index of average monthly earnings,2017K1,101.6,"Architecture, engineering activities"
Index of average monthly earnings,2017K2,101.5,"Architecture, engineering activities"
Index of average monthly earnings,2017K3,99.7,"Architecture, engineering activities"
Index of average monthly earnings,2017K4,101.6,"Architecture, engineering activities"
Index of average monthly earnings,2018K1,104.6,"Architecture, engineering activities"
Index of average monthly earnings,2018K2,104.4,"Architecture, engineering activities"
Index of average monthly earnings,2018K3,101.9,"Architecture, engineering activities"
Index of average monthly earnings,2018K4,104.3,"Architecture, engineering activities"
Index of average monthly earnings,2019K1,107.2,"Architecture, engineering activities"
Index of average monthly earnings,2019K2,107.2,"Architecture, engineering activities"
Index of average monthly earnings,2019K3,105,"Architecture, engineering activities"
Index of average monthly earnings,2019K4,107.8,"Architecture, engineering activities"
Index of average monthly earnings,2020K1,110,"Architecture, engineering activities"
Index of average monthly earnings,2020K2,110.2,"Architecture, engineering activities"
Index of average monthly earnings,2020K3,107.1,"Architecture, engineering activities"
Index of average monthly earnings,2020K4,109.7,"Architecture, engineering activities"
Index of average monthly earnings,2021K1,112.8,"Architecture, engineering activities"
Index of average monthly earnings,2021K2,117.2,"Architecture, engineering activities"
Index of average monthly earnings,2021K3,110.4,"Architecture, engineering activities"
Index of average monthly earnings,2021K4,128.8,"Architecture, engineering activities"
Index of average monthly earnings,2022K1,116.7,"Architecture, engineering activities"
Index of average monthly earnings,2022K2,120.6,"Architecture, engineering activities"
Index of average monthly earnings,2022K3,115.3,"Architecture, engineering activities"
Index of average monthly earnings,2022K4,118.8,"Architecture, engineering activities"
Number of employees,2016K1,15882,Scientific research and development
Number of employees,2016K2,15776,Scientific research and development
Number of employees,2016K3,16116,Scientific research and development
Number of employees,2016K4,16478,Scientific research and development
Number of employees,2017K1,15904,Scientific research and development
Number of employees,2017K2,16029,Scientific research and development
Number of employees,2017K3,16254,Scientific research and development
Number of employees,2017K4,16344,Scientific research and development
Number of employees,2018K1,16079,Scientific research and development
Number of employees,2018K2,16059,Scientific research and development
Number of employees,2018K3,16353,Scientific research and development
Number of employees,2018K4,16853,Scientific research and development
Number of employees,2019K1,16148,Scientific research and development
Number of employees,2019K2,16261,Scientific research and development
Number of employees,2019K3,16581,Scientific research and development
Number of employees,2019K4,16659,Scientific research and development
Number of employees,2020K1,16678,Scientific research and development
Number of employees,2020K2,16702,Scientific research and development
Number of employees,2020K3,17035,Scientific research and development
Number of employees,2020K4,16969,Scientific research and development
Number of employees,2021K1,17067,Scientific research and development
Number of employees,2021K2,17286,Scientific research and development
Number of employees,2021K3,17649,Scientific research and development
Number of employees,2021K4,18023,Scientific research and development
Number of employees,2022K1,18049,Scientific research and development
Number of employees,2022K2,18219,Scientific research and development
Number of employees,2022K3,18658,Scientific research and development
Number of employees,2022K4,18870,Scientific research and development
Number of jobs (employments),2016K1,16815,Scientific research and development
Number of jobs (employments),2016K2,16762,Scientific research and development
Number of jobs (employments),2016K3,17080,Scientific research and development
Number of jobs (employments),2016K4,17676,Scientific research and development
Number of jobs (employments),2017K1,16798,Scientific research and development
Number of jobs (employments),2017K2,17006,Scientific research and development
Number of jobs (employments),2017K3,17212,Scientific research and development
Number of jobs (employments),2017K4,17340,Scientific research and development
Number of jobs (employments),2018K1,17009,Scientific research and development
Number of jobs (employments),2018K2,17035,Scientific research and development
Number of jobs (employments),2018K3,17333,Scientific research and development
Number of jobs (employments),2018K4,18282,Scientific research and development
Number of jobs (employments),2019K1,17115,Scientific research and development
Number of jobs (employments),2019K2,17279,Scientific research and development
Number of jobs (employments),2019K3,17593,Scientific research and development
Number of jobs (employments),2019K4,17764,Scientific research and development
Number of jobs (employments),2020K1,17682,Scientific research and development
Number of jobs (employments),2020K2,17732,Scientific research and development
Number of jobs (employments),2020K3,18056,Scientific research and development
Number of jobs (employments),2020K4,18129,Scientific research and development
Number of jobs (employments),2021K1,18158,Scientific research and development
Number of jobs (employments),2021K2,18389,Scientific research and development
Number of jobs (employments),2021K3,18745,Scientific research and development
Number of jobs (employments),2021K4,19321,Scientific research and development
Number of jobs (employments),2022K1,19183,Scientific research and development
Number of jobs (employments),2022K2,19401,Scientific research and development
Number of jobs (employments),2022K3,19821,Scientific research and development
Number of jobs (employments),2022K4,20245,Scientific research and development
Average monthly basic earnings (NOK),2016K1,53850,Scientific research and development
Average monthly basic earnings (NOK),2016K2,53630,Scientific research and development
Average monthly basic earnings (NOK),2016K3,53880,Scientific research and development
Average monthly basic earnings (NOK),2016K4,54750,Scientific research and development
Average monthly basic earnings (NOK),2017K1,55190,Scientific research and development
Average monthly basic earnings (NOK),2017K2,55240,Scientific research and development
Average monthly basic earnings (NOK),2017K3,55160,Scientific research and development
Average monthly basic earnings (NOK),2017K4,56200,Scientific research and development
Average monthly basic earnings (NOK),2018K1,56410,Scientific research and development
Average monthly basic earnings (NOK),2018K2,56720,Scientific research and development
Average monthly basic earnings (NOK),2018K3,56350,Scientific research and development
Average monthly basic earnings (NOK),2018K4,57500,Scientific research and development
Average monthly basic earnings (NOK),2019K1,58220,Scientific research and development
Average monthly basic earnings (NOK),2019K2,58230,Scientific research and development
Average monthly basic earnings (NOK),2019K3,58200,Scientific research and development
Average monthly basic earnings (NOK),2019K4,59690,Scientific research and development
Average monthly basic earnings (NOK),2020K1,59890,Scientific research and development
Average monthly basic earnings (NOK),2020K2,59700,Scientific research and development
Average monthly basic earnings (NOK),2020K3,59440,Scientific research and development
Average monthly basic earnings (NOK),2020K4,60380,Scientific research and development
Average monthly basic earnings (NOK),2021K1,60840,Scientific research and development
Average monthly basic earnings (NOK),2021K2,60960,Scientific research and development
Average monthly basic earnings (NOK),2021K3,61030,Scientific research and development
Average monthly basic earnings (NOK),2021K4,62670,Scientific research and development
Average monthly basic earnings (NOK),2022K1,63120,Scientific research and development
Average monthly basic earnings (NOK),2022K2,63210,Scientific research and development
Average monthly basic earnings (NOK),2022K3,62920,Scientific research and development
Average monthly basic earnings (NOK),2022K4,65740,Scientific research and development
Average monthly earnings (NOK),2016K1,55380,Scientific research and development
Average monthly earnings (NOK),2016K2,54670,Scientific research and development
Average monthly earnings (NOK),2016K3,54830,Scientific research and development
Average monthly earnings (NOK),2016K4,55600,Scientific research and development
Average monthly earnings (NOK),2017K1,57260,Scientific research and development
Average monthly earnings (NOK),2017K2,56640,Scientific research and development
Average monthly earnings (NOK),2017K3,56340,Scientific research and development
Average monthly earnings (NOK),2017K4,57580,Scientific research and development
Average monthly earnings (NOK),2018K1,58220,Scientific research and development
Average monthly earnings (NOK),2018K2,58000,Scientific research and development
Average monthly earnings (NOK),2018K3,57150,Scientific research and development
Average monthly earnings (NOK),2018K4,58710,Scientific research and development
Average monthly earnings (NOK),2019K1,60160,Scientific research and development
Average monthly earnings (NOK),2019K2,59370,Scientific research and development
Average monthly earnings (NOK),2019K3,59020,Scientific research and development
Average monthly earnings (NOK),2019K4,60670,Scientific research and development
Average monthly earnings (NOK),2020K1,61820,Scientific research and development
Average monthly earnings (NOK),2020K2,60820,Scientific research and development
Average monthly earnings (NOK),2020K3,60230,Scientific research and development
Average monthly earnings (NOK),2020K4,62830,Scientific research and development
Average monthly earnings (NOK),2021K1,62940,Scientific research and development
Average monthly earnings (NOK),2021K2,62520,Scientific research and development
Average monthly earnings (NOK),2021K3,62130,Scientific research and development
Average monthly earnings (NOK),2021K4,66210,Scientific research and development
Average monthly earnings (NOK),2022K1,64780,Scientific research and development
Average monthly earnings (NOK),2022K2,64590,Scientific research and development
Average monthly earnings (NOK),2022K3,64000,Scientific research and development
Average monthly earnings (NOK),2022K4,67100,Scientific research and development
Index of average monthly basic earnings,2016K1,100,Scientific research and development
Index of average monthly basic earnings,2016K2,99.6,Scientific research and development
Index of average monthly basic earnings,2016K3,100.1,Scientific research and development
Index of average monthly basic earnings,2016K4,101.7,Scientific research and development
Index of average monthly basic earnings,2017K1,102.5,Scientific research and development
Index of average monthly basic earnings,2017K2,102.6,Scientific research and development
Index of average monthly basic earnings,2017K3,102.4,Scientific research and development
Index of average monthly basic earnings,2017K4,104.4,Scientific research and development
Index of average monthly basic earnings,2018K1,104.8,Scientific research and development
Index of average monthly basic earnings,2018K2,105.3,Scientific research and development
Index of average monthly basic earnings,2018K3,104.6,Scientific research and development
Index of average monthly basic earnings,2018K4,106.8,Scientific research and development
Index of average monthly basic earnings,2019K1,108.1,Scientific research and development
Index of average monthly basic earnings,2019K2,108.1,Scientific research and development
Index of average monthly basic earnings,2019K3,108.1,Scientific research and development
Index of average monthly basic earnings,2019K4,110.8,Scientific research and development
Index of average monthly basic earnings,2020K1,111.2,Scientific research and development
Index of average monthly basic earnings,2020K2,110.9,Scientific research and development
Index of average monthly basic earnings,2020K3,110.4,Scientific research and development
Index of average monthly basic earnings,2020K4,112.1,Scientific research and development
Index of average monthly basic earnings,2021K1,113,Scientific research and development
Index of average monthly basic earnings,2021K2,113.2,Scientific research and development
Index of average monthly basic earnings,2021K3,113.3,Scientific research and development
Index of average monthly basic earnings,2021K4,116.4,Scientific research and development
Index of average monthly basic earnings,2022K1,117.2,Scientific research and development
Index of average monthly basic earnings,2022K2,117.4,Scientific research and development
Index of average monthly basic earnings,2022K3,116.8,Scientific research and development
Index of average monthly basic earnings,2022K4,122.1,Scientific research and development
Index of average monthly earnings,2016K1,100,Scientific research and development
Index of average monthly earnings,2016K2,98.7,Scientific research and development
Index of average monthly earnings,2016K3,99,Scientific research and development
Index of average monthly earnings,2016K4,100.4,Scientific research and development
Index of average monthly earnings,2017K1,103.4,Scientific research and development
Index of average monthly earnings,2017K2,102.3,Scientific research and development
Index of average monthly earnings,2017K3,101.7,Scientific research and development
Index of average monthly earnings,2017K4,104,Scientific research and development
Index of average monthly earnings,2018K1,105.1,Scientific research and development
Index of average monthly earnings,2018K2,104.7,Scientific research and development
Index of average monthly earnings,2018K3,103.2,Scientific research and development
Index of average monthly earnings,2018K4,106,Scientific research and development
Index of average monthly earnings,2019K1,108.6,Scientific research and development
Index of average monthly earnings,2019K2,107.2,Scientific research and development
Index of average monthly earnings,2019K3,106.6,Scientific research and development
Index of average monthly earnings,2019K4,109.6,Scientific research and development
Index of average monthly earnings,2020K1,111.6,Scientific research and development
Index of average monthly earnings,2020K2,109.8,Scientific research and development
Index of average monthly earnings,2020K3,108.8,Scientific research and development
Index of average monthly earnings,2020K4,113.5,Scientific research and development
Index of average monthly earnings,2021K1,113.7,Scientific research and development
Index of average monthly earnings,2021K2,112.9,Scientific research and development
Index of average monthly earnings,2021K3,112.2,Scientific research and development
Index of average monthly earnings,2021K4,119.6,Scientific research and development
Index of average monthly earnings,2022K1,117,Scientific research and development
Index of average monthly earnings,2022K2,116.6,Scientific research and development
Index of average monthly earnings,2022K3,115.6,Scientific research and development
Index of average monthly earnings,2022K4,121.2,Scientific research and development
Number of employees,2016K1,8594,Advertising and market research
Number of employees,2016K2,9032,Advertising and market research
Number of employees,2016K3,8209,Advertising and market research
Number of employees,2016K4,8703,Advertising and market research
Number of employees,2017K1,8382,Advertising and market research
Number of employees,2017K2,8709,Advertising and market research
Number of employees,2017K3,8402,Advertising and market research
Number of employees,2017K4,8951,Advertising and market research
Number of employees,2018K1,8430,Advertising and market research
