contents,quarter,value,shortname
Average monthly earnings (NOK),2021K4,42040,Forestry and logging
Average monthly earnings (NOK),2022K1,44890,Forestry and logging
Average monthly earnings (NOK),2022K2,43790,Forestry and logging
Average monthly earnings (NOK),2022K3,42390,Forestry and logging
Average monthly earnings (NOK),2022K4,44420,Forestry and logging
Index of average monthly basic earnings,2016K1,100,Forestry and logging
Index of average monthly basic earnings,2016K2,97.8,Forestry and logging
Index of average monthly basic earnings,2016K3,95.5,Forestry and logging
Index of average monthly basic earnings,2016K4,97.9,Forestry and logging
Index of average monthly basic earnings,2017K1,101.2,Forestry and logging
Index of average monthly basic earnings,2017K2,98.4,Forestry and logging
Index of average monthly basic earnings,2017K3,97.1,Forestry and logging
Index of average monthly basic earnings,2017K4,99.6,Forestry and logging
Index of average monthly basic earnings,2018K1,102.7,Forestry and logging
Index of average monthly basic earnings,2018K2,101,Forestry and logging
Index of average monthly basic earnings,2018K3,99.6,Forestry and logging
Index of average monthly basic earnings,2018K4,102.2,Forestry and logging
Index of average monthly basic earnings,2019K1,106.5,Forestry and logging
Index of average monthly basic earnings,2019K2,103.9,Forestry and logging
Index of average monthly basic earnings,2019K3,101.8,Forestry and logging
Index of average monthly basic earnings,2019K4,105.3,Forestry and logging
Index of average monthly basic earnings,2020K1,109.3,Forestry and logging
Index of average monthly basic earnings,2020K2,109.5,Forestry and logging
Index of average monthly basic earnings,2020K3,106.1,Forestry and logging
Index of average monthly basic earnings,2020K4,108.5,Forestry and logging
Index of average monthly basic earnings,2021K1,113.2,Forestry and logging
Index of average monthly basic earnings,2021K2,112.6,Forestry and logging
Index of average monthly basic earnings,2021K3,110.5,Forestry and logging
Index of average monthly basic earnings,2021K4,112.5,Forestry and logging
Index of average monthly basic earnings,2022K1,118.3,Forestry and logging
Index of average monthly basic earnings,2022K2,117.1,Forestry and logging
Index of average monthly basic earnings,2022K3,115.6,Forestry and logging
Index of average monthly basic earnings,2022K4,118.5,Forestry and logging
Index of average monthly earnings,2016K1,100,Forestry and logging
Index of average monthly earnings,2016K2,97.8,Forestry and logging
Index of average monthly earnings,2016K3,94.7,Forestry and logging
Index of average monthly earnings,2016K4,97.8,Forestry and logging
Index of average monthly earnings,2017K1,100.9,Forestry and logging
Index of average monthly earnings,2017K2,98.5,Forestry and logging
Index of average monthly earnings,2017K3,96.2,Forestry and logging
Index of average monthly earnings,2017K4,98.9,Forestry and logging
Index of average monthly earnings,2018K1,103,Forestry and logging
Index of average monthly earnings,2018K2,101.2,Forestry and logging
Index of average monthly earnings,2018K3,99.4,Forestry and logging
Index of average monthly earnings,2018K4,102.6,Forestry and logging
Index of average monthly earnings,2019K1,106.6,Forestry and logging
Index of average monthly earnings,2019K2,104.9,Forestry and logging
