code,parentCode,level,nb_name,name
5112,511,4,Konduktører,Transport conductors
5113,511,4,Reiseledere og guider,Travel guides
5120,512,4,Kokker,Cooks
5131,513,4,Servitører,Waiters
5132,513,4,Bartendere,Bartenders
5141,514,4,Frisører,Hairdressers
5142,514,4,Kosmetologer mv.,Beauticians and related workers
5151,515,4,Renholdsledere i virksomheter,"Cleaning and housekeeping supervisors in offices, hotels and other local kinds of activity units"
5152,515,4,Husholdere,Domestic housekeepers
5153,515,4,Vaktmestre,Building caretakers
5161,516,4,Astrologer mv.,"Astrologers, fortune-tellers and related workers"
5163,516,4,Begravelsesbyrå- og krematoriearbeidere,Undertakers and embalmers
5164,516,4,Dyrepassere og - trenere mv.,Pet groomers and animal care workers
5165,516,4,Kjøreskolelærere,Driving instructors
5169,516,4,Andre personlige tjenesteytere,Personal services workers not elsewhere classified
52,5,2,Salgsyrker,Sales workers
5211,521,4,Torghandlere,Stall and market salespersons
5212,521,4,"Gateselgere, mat",Street food salespersons
5221,522,4,Innehavere av kiosk/liten butikk,Shopkeepers
5222,522,4,Butikkavdelingssjefer,Shop supervisors
5223,522,4,Butikkmedarbeidere,Shop sales assistants
5230,523,4,Billettselgere,Cashiers and ticket clerks
5241,524,4,Mannekenger og modeller,Fashion and other models
5242,524,4,Demonstrasjonsselgere,Sales demonstrators
5243,524,4,Dørselgere,Door to door salespersons
5244,524,4,Telefon- og nettselgere,Contact centre salespersons
5245,524,4,Servicemedarbeidere (bensinstasjon),Service station attendants
5246,524,4,Gatekjøkken- og kafémedarbeidere mv.,Food service counter attendants
5249,524,4,Andre salgsmedarbeidere,Sales workers not elsewhere classified
53,5,2,Pleie- og omsorgsarbeidere,Personal care workers
5311,531,4,Barnehage- og skolefritidsassistenter mv.,Child care workers
5312,531,4,Skoleassistenter,Teachers¿ aides
5321,532,4,Helsefagarbeidere,Health care assistants
5322,532,4,Hjemmehjelper,Home-based personal care workers
5329,532,4,Andre pleiemedarbeidere,Personal care workers in health services not elsewhere classified
54,5,2,Sikkerhetsarbeidere,Protective services workers
5411,541,4,Brannkonstabler,Fire-fighters
5413,541,4,Fengselsbetjenter,Prison guards
5414,541,4,Vektere,Security guards
5419,541,4,Andre sikkerhetsarbeidere,Protective services workers not elsewhere classified
61,6,2,Jordbrukere,Market-oriented skilled agricultural workers
6111,611,4,Korn- og grønnsaksprodusenter,Field crop and vegetable growers
6112,611,4,Frukt- og bærprodusenter,Tree and shrub crop growers
6113,611,4,Gartnere,"Gardeners, horticultural and nursery growers"
6114,611,4,"Kombinasjonsbrukere, nyttevekster",Mixed crop growers
6121,612,4,Melke- og husdyrprodusenter,Livestock and dairy producers
6122,612,4,Egg- og fjærfeprodusenter,Poultry producers
6123,612,4,Birøktere mv.,Apiarists and sericulturists
6129,612,4,Andre dyreoppdrettere og røktere,Animal producers not elsewhere classified
6130,613,4,Plante- og husdyrprodusenter (kombinasjonsbruk),Mixed crop and animal producers
62,6,2,"Skogbrukere, fiskere mv.","Market-oriented skilled forestry, fishery and hunting workers"
6210,621,4,Skogbrukere,Forestry and related workers
6221,622,4,Havbruksarbeidere,Aquaculture workers
6222,622,4,Fiskere,Fishery workers
6224,622,4,Fangstfolk,Hunters and trappers
71,7,2,Byggearbeidere,"Building and related trades workers, excluding electricians"
7112,711,4,Murere,Bricklayers and related workers
7113,711,4,Steinhoggere mv.,"Stonemasons, stone cutters, splitters and carvers"
7114,711,4,Betongarbeidere,"Concrete placers, concrete finishers and related workers"
7115,711,4,Tømrere og snekkere,Carpenters and joiners
7119,711,4,Andre bygningsarbeidere,Building frame and related trades workers not elsewhere classified
7121,712,4,Taktekkere,Roofers
7122,712,4,Gulv- og flisleggere,Floor layers and tile setters
7123,712,4,Gips- og sparklingsarbeidere,Plasterers
7124,712,4,Isolatører mv.,Insulation workers
7125,712,4,Glassarbeidere,Glaziers
7126,712,4,Rørleggere og VVS-montører,Plumbers and pipe fitters
7127,712,4,Kuldemontører mv.,Air conditioning and refrigeration mechanics
7131,713,4,Malere og byggtapetserere,Painters and related workers
7132,713,4,Overflatebehandlere og lakkerere,Spray painters and varnishers
7133,713,4,"Feiere, fasaderenholdere mv.",Building structure cleaners
72,7,2,Metall- og maskinarbeidere,"Metal, machinery and related trades workers"
7211,721,4,Støpere,Metal moulders and coremakers
7212,721,4,Sveisere,Welders and flame cutters
7213,721,4,Kopper- og blikkenslagere,Sheet metal workers
7214,721,4,Platearbeidere,Structural metal preparers and erectors
7215,721,4,Riggere og spleisere,Riggers and cable splicers
7221,722,4,Smeder,"Blacksmiths, hammersmiths and forging press workers"
7222,722,4,"Verktøymaker, låsesmeder mv.",Toolmakers and related workers
7223,722,4,Metalldreiere mv.,Metal working machine tool setters and operators
7224,722,4,Metallslipere,"Metal polishers, wheel grinders and tool sharpeners"
7231,723,4,Bilmekanikere,Motor vehicle mechanics and repairers
7232,723,4,Mekanikere innen flytekniske fag,Aircraft engine mechanics and repairers
7233,723,4,Anleggsmaskin- og industrimekanikere,Agricultural and industrial machinery mechanics and repairers
7234,723,4,Sykkelreparatører mv.,Bicycle and related repairers
73,7,2,"Presisjonsarbeidere, kunsthåndverkere, grafiske arbeidere mv.",Handicraft and printing workers
7311,731,4,Presisjonsinstrumentmakere og -reparatører,Precision-instrument makers and repairers
7312,731,4,Musikkinstrumentmakere og -stemmere,Musical instrument makers and tuners
7313,731,4,"Gull- og sølvsmeder, gravører mv.",Jewellery and precious metal workers
7314,731,4,Keramikere mv.,Potters and related workers
7315,731,4,Glasshåndverkere,"Glass makers, cutters, grinders and finishers"
7316,731,4,Dekormalere mv.,"Sign writers, decorative painters, engravers and etchers"
7317,731,4,Kunsthåndverkere i tre mv.,"Handicraft workers in wood, basketry and related materials"
7318,731,4,"Vevere, strikkere mv. (innen husflidsproduksjon)","Handicraft workers in textile, leather and related materials"
7319,731,4,Andre kunsthåndverkere,Handicraft workers not elsewhere classified
7321,732,4,Førtrykkere,Pre-press technicians
7322,732,4,Trykkere,Printers
7323,732,4,Innbindere mv.,Print finishing and binding workers
74,7,2,"Elektrikere, elektronikere mv.",Electrical and electronics trades workers
7411,741,4,Elektrikere,Building and related electricians
7412,741,4,Automatikere,Electrical mechanics and fitters
7413,741,4,Energimontører,Electrical line installers and repairers
7421,742,4,Serviceelektronikere,Electronics mechanics and servicers
7422,742,4,Tele- og IKT-installatører,Information and communications technology installers and servicers
75,7,2,Andre håndverkspregede yrker,"Food processing, woodworking, garment and other craft and related trades workers"
7511,751,4,"Slaktere, fiskehandlere mv.","Butchers, fishmongers and related food preparers"
7512,751,4,"Bakere, konditorer mv.","Bakers, pastry-cooks and confectionery makers"
7513,751,4,Ystere mv. (gårdsproduksjon),Dairy product makers
7514,751,4,"Saftere, syltere mv. (gårdsproduksjon)","Fruit, vegetables and related preservers"
7515,751,4,Prøvesmakere og kvalitetsbedømmere av mat og drikke,Food and beverage tasters and graders
7522,752,4,Møbelsnekkere,Cabinet makers and related workers
7531,753,4,"Skreddere, buntmakere mv.","Tailors, dressmakers, furriers and hatters"
7532,753,4,Gradører,Garment and related patternmakers and cutters
